time,particle_id,x,y,z,vx,vy,vz,EK
0,1,1,0.001,0,0.001,1,0,0.5
0.001,1,1,0.002,0,0.002,0.999999,0,0.500001
0.002,1,1,0.003,0,0.003,0.999997,0,0.500002
0.003,1,1.00001,0.004,0,0.004,0.999994,0,0.500002
0.004,1,1.00001,0.00499999,0,0.00499999,0.99999,0,0.500003
0.005,1,1.00001,0.00599998,0,0.00599998,0.999985,0,0.500003
0.006,1,1.00002,0.00699997,0,0.00699997,0.999979,0,0.500004
0.007,1,1.00003,0.00799994,0,0.00799994,0.999972,0,0.500004
0.008,1,1.00004,0.00899992,0,0.00899992,0.999964,0,0.500005
0.009,1,1.00004,0.00999988,0,0.00999988,0.999955,0,0.500005
0.01,1,1.00005,0.0109998,0,0.0109998,0.999945,0,0.500006
0.011,1,1.00007,0.0119998,0,0.0119998,0.999934,0,0.500006
0.012,1,1.00008,0.0129997,0,0.0129997,0.999922,0,0.500007
0.013,1,1.00009,0.0139996,0,0.0139996,0.999909,0,0.500007
0.014,1,1.0001,0.0149995,0,0.0149995,0.999895,0,0.500008
0.015,1,1.00012,0.0159994,0,0.0159994,0.99988,0,0.500008
0.016,1,1.00014,0.0169993,0,0.0169993,0.999864,0,0.500009
0.017,1,1.00015,0.0179992,0,0.0179992,0.999847,0,0.500009
0.018,1,1.00017,0.018999,0,0.018999,0.999829,0,0.50001
0.019,1,1.00019,0.0199989,0,0.0199989,0.99981,0,0.50001
0.02,1,1.00021,0.0209987,0,0.0209987,0.99979,0,0.500011
0.021,1,1.00023,0.0219985,0,0.0219985,0.999769,0,0.500011
0.022,1,1.00025,0.0229982,0,0.0229982,0.999747,0,0.500012
0.023,1,1.00028,0.023998,0,0.023998,0.999724,0,0.500012
0.024,1,1.0003,0.0249977,0,0.0249977,0.9997,0,0.500013
0.025,1,1.00032,0.0259974,0,0.0259974,0.999675,0,0.500013
0.026,1,1.00035,0.0269971,0,0.0269971,0.999649,0,0.500014
0.027,1,1.00038,0.0279967,0,0.0279967,0.999622,0,0.500014
0.028,1,1.00041,0.0289963,0,0.0289963,0.999594,0,0.500015
0.029,1,1.00043,0.0299959,0,0.0299959,0.999565,0,0.500015
0.03,1,1.00046,0.0309955,0,0.0309955,0.999535,0,0.500016
0.031,1,1.0005,0.031995,0,0.031995,0.999504,0,0.500016
0.032,1,1.00053,0.0329945,0,0.0329945,0.999472,0,0.500017
0.033,1,1.00056,0.033994,0,0.033994,0.999439,0,0.500017
0.034,1,1.00059,0.0349935,0,0.0349935,0.999405,0,0.500018
0.035,1,1.00063,0.0359929,0,0.0359929,0.99937,0,0.500018
0.036,1,1.00067,0.0369922,0,0.0369922,0.999334,0,0.500019
0.037,1,1.0007,0.0379916,0,0.0379916,0.999297,0,0.500019
0.038,1,1.00074,0.0389909,0,0.0389909,0.999259,0,0.50002
0.039,1,1.00078,0.0399901,0,0.0399901,0.99922,0,0.50002
0.04,1,1.00082,0.0409893,0,0.0409893,0.99918,0,0.500021
